Sample,Forest,Replicate,Species
THB_BET,Thetford,B,Betula_pendula
THA_OAK,Thetford,A,Quercus_robur
THC_OAK,Thetford,C,Quercus_robur
THA_BEE,Thetford,A,Fagus_sylvatica
BWB_BEE,Bishops_Wood,B,Fagus_sylvatica
BWC_OAK,Bishops_Wood,C,Quercus_robur
BWC_BEE,Bishops_Wood,C,Fagus_sylvatica
BWA_BET,Bishops_Wood,A,Betula_pendula
AHC_HAZ,Alice_Holt,C,Corylus_avellana
AHB_BEE,Alice_Holt,B,Fagus_sylvatica
AHC_ASH,Alice_Holt,C,Fraxinus_excelsior
THA_ASH,Thetford,A,Fraxinus_excelsior
BWB_HAZ,Bishops_Wood,B,Corylus_avellana
AHB_BET,Alice_Holt,B,Betula_pendula
THB_BEE,Thetford,B,Fagus_sylvatica
BWA_ASH,Bishops_Wood,A,Fraxinus_excelsior
AHA_BEE,Alice_Holt,A,Fagus_sylvatica
BWC_BET,Bishops_Wood,C,Betula_pendula
AHA_BET,Alice_Holt,A,Betula_pendula
BWA_HAZ,Bishops_Wood,A,Corylus_avellana
BWC_ASH,Bishops_Wood,C,Fraxinus_excelsior
BWA_OAK,Bishops_Wood,A,Quercus_robur
AHA_OAK,Alice_Holt,A,Quercus_robur
BWC_HAZ,Bishops_Wood,C,Corylus_avellana
AHA_HAZ,Alice_Holt,A,Corylus_avellana
AHB_ASH,Alice_Holt,B,Fraxinus_excelsior
AHC_OAK,Alice_Holt,C,Quercus_robur
BWA_BEE,Bishops_Wood,A,Fagus_sylvatica
THA_BET,Thetford,A,Betula_pendula
AHA_ASH,Alice_Holt,A,Fraxinus_excelsior
THB_OAK,Thetford,B,Quercus_robur
THB_ASH,Thetford,B,Fraxinus_excelsior
BWB_ASH,Bishops_Wood,B,Fraxinus_excelsior
AHB_OAK,Alice_Holt,B,Quercus_robur
BWB_OAK,Bishops_Wood,B,Quercus_robur
AHC_BET,Alice_Holt,C,Betula_pendula
BWB_BET,Bishops_Wood,B,Betula_pendula
THC_ASH,Thetford,C,Fraxinus_excelsior
THC_BEE,Thetford,C,Fagus_sylvatica
